Actual;Prediction;LIME Precision;LIME Recall;SHAP Precision;SHAP Recall;ACV Precision;ACV Recall;SHAP Correlation;LIME Correlation;ACV Correlation
63;39.5;1.0;0.13333333333333333;1.0;0.03333333333333333;0.0;0.0;0.5493979001213279;0.4569876542483858;0.23902019057803164
497;356.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.08695652173913043;0.5326892496621286;0.429633028812462;0.28435234401301585
15;15.5;0.0;0.0;1.0;0.0625;0.0;0.0;0.4000520392898839;0.34197996907038464;0.13975650449560373
81;95.0;1.0;0.03225806451612903;1.0;0.03225806451612903;1.0;0.03225806451612903;0.5597325809063556;0.4019556117918124;0.3249755229331925
152;152.5;1.0;0.04;1.0;0.04;0.0;0.0;0.6343247919734841;0.5412005140029088;0.4443556268091167
126;111.0;1.0;0.13636363636363635;1.0;0.045454545454545456;1.0;0.045454545454545456;0.6108959884555024;0.6264873013859212;0.44457953511164156
237;199.0;1.0;0.05;1.0;0.05;1.0;0.2;0.5913843357408525;0.5560778082339359;0.4451189900419195
81;103.5;1.0;0.047619047619047616;1.0;0.047619047619047616;1.0;0.047619047619047616;0.5670251885082446;0.5064270767592719;0.344879945590851
66;86.5;1.0;0.047619047619047616;1.0;0.047619047619047616;0.0;0.0;0.5424973813717556;0.2972193100068661;-0.08366600265340755
67;111.0;0.5;0.1;1.0;0.1;1.0;0.1;0.4375891579511566;0.191507273207649;0.17161799532219213
10;16.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;0.3706885613842934;0.2394898008943469;0.0067666495245095855
564;566.0;1.0;0.037037037037037035;1.0;0.037037037037037035;0.0;0.0;0.5934488038763103;0.40963722745444425;0.0
76;64.0;0.75;0.1875;1.0;0.0625;0.0;0.0;0.5097437274822714;0.3677897780568287;0.0
149;114.0;1.0;0.04166666666666666;1.0;0.08333333333333333;0.0;0.0;0.6056897580445115;0.4727668925913042;0.2440794284410614
52;19.0;1.0;0.047619047619047616;1.0;0.047619047619047616;0.0;0.0;0.5093127011282707;0.3592602339403382;0.31856232672917245
170;205.0;1.0;0.04166666666666666;1.0;0.041666666666666664;0.5;0.041666666666666664;0.5933567086725644;0.5207287512599872;0.40655630310150137
15;26.0;0.3333333333333333;0.07692307692307693;1.0;0.07692307692307693;1.0;0.07692307692307693;0.35644068054018163;0.20645326546139234;0.15563293906372044
300;246.5;1.0;0.047619047619047616;1.0;0.047619047619047616;1.0;0.14285714285714285;0.5929958078292329;0.36358867049383625;0.3809072222823606
579;592.5;1.0;0.06666666666666668;1.0;0.06666666666666668;0.6666666666666666;0.13333333333333333;0.3739103034263968;0.020726735223192724;0.27155836506586256
433;346.0;1.0;0.047619047619047616;1.0;0.047619047619047616;0.0;0.0;0.5655823763237453;0.5266264473422628;0.0
210;154.0;1.0;0.05263157894736842;1.0;0.05263157894736842;1.0;0.05263157894736842;0.4963797158426647;0.4888701891279497;0.44619142154933156
236;222.0;1.0;0.027777777777777776;1.0;0.027777777777777776;1.0;0.05555555555555555;0.6725479215437979;0.5601576910991455;0.4860715307731187
776;709.0;1.0;0.08333333333333333;1.0;0.08333333333333333;0.6666666666666666;0.16666666666666666;0.4716667725125173;0.038391481483577;0.3458589118927982
94;108.0;1.0;0.04166666666666666;1.0;0.041666666666666664;0.0;0.0;0.5481355276420918;0.5933567086725644;0.26715524895092396
23;21.0;0.3333333333333333;0.09090909090909093;1.0;0.09090909090909093;1.0;0.09090909090909091;0.24044585180508565;0.025660229244021;0.20100756305184242
4;9.5;0.3333333333333333;0.16666666666666666;1.0;0.16666666666666666;1.0;0.16666666666666666;0.21269222388664155;0.1598338013822691;0.2706174991492072
230;251.0;1.0;0.04;1.0;0.04;0.0;0.0;0.5749411944270303;0.588437466596679;0.0
96;87.0;0.0;0.0;1.0;0.045454545454545456;1.0;0.045454545454545456;0.4918350533504858;0.32600017945421245;0.14019765941415077
625;823.0;0.5;0.09090909090909093;1.0;0.09090909090909093;0.3333333333333333;0.09090909090909091;0.4096132890434464;0.082682960897401;0.09246320503920141
157;235.5;1.0;0.25;1.0;0.25;0.5;0.125;0.4288148776950915;0.2616870279267481;0.504443345217166
2;4.0;1.0;0.05882352941176471;1.0;0.05882352941176471;0.5;0.058823529411764705;0.4984683411611266;0.5157653498449511;0.4877138625612998
277;275.0;1.0;0.03225806451612903;1.0;0.03225806451612903;1.0;0.06451612903225806;0.6473864526366573;0.4457825476569632;0.4291462361811373
5;4.0;0.0;0.0;1.0;0.08333333333333333;0.0;0.0;0.2193798941918685;0.04936047619317042;-0.02962506769335702
50;35.0;0.5;0.05263157894736842;1.0;0.05263157894736842;0.0;0.0;0.5654673616180431;0.35069489757719274;0.2236252930452002
215;250.0;0.5;0.09090909090909093;1.0;0.09090909090909093;1.0;0.2727272727272727;0.4552314743661504;0.23664433636152696;0.47007291296507353
225;264.5;1.0;0.14285714285714285;1.0;0.047619047619047616;0.0;0.0;0.5771248737997401;0.4371720919033031;0.0
348;289.0;1.0;0.037037037037037035;1.0;0.037037037037037035;1.0;0.1111111111111111;0.5859966091247347;0.4088195828496189;0.38857247619070084
133;15.0;0.6666666666666666;0.13333333333333333;1.0;0.06666666666666668;0.0;0.0;0.521484658215529;0.40044052451208345;0.0
684;580.0;1.0;0.16666666666666666;1.0;0.08333333333333333;1.0;0.3333333333333333;0.5388069131401453;0.22229215601537405;0.5924917318170501
439;76.5;1.0;0.05;1.0;0.05;1.0;0.05;0.5325401232293249;0.4839936479073146;0.26716693713854006
521;501.0;1.0;0.047619047619047616;1.0;0.047619047619047616;0.0;0.0;0.5424973813717556;0.3246327415123538;0.0
266;255.0;1.0;0.03333333333333333;1.0;0.03333333333333333;0.0;0.0;0.6751069032762871;0.4814961137706227;0.0
86;161.5;1.0;0.1;1.0;0.05;1.0;0.05;0.5384245444804776;0.4898780691584674;0.5012221193516208
501;509.0;0.6666666666666666;0.2222222222222222;1.0;0.1111111111111111;0.0;0.0;0.4539893616953706;0.3352857212520856;0.0
321;351.0;1.0;0.08695652173913042;1.0;0.043478260869565216;0.0;0.0;0.6315675156124846;0.4672346229062592;0.0
505;530.5;1.0;0.08333333333333333;1.0;0.08333333333333333;1.0;0.25;0.5259999576495477;0.246076501926484;0.3767666955521144
175;139.0;1.0;0.057142857142857134;1.0;0.028571428571428567;0.0;0.0;0.5983502180977548;0.4730160334408233;0.25109631474514943
8;6.0;0.0;0.0;1.0;0.08333333333333333;1.0;0.08333333333333333;0.2497356320666548;0.06860869012820188;0.13835613322812138
533;611.0;1.0;0.06666666666666668;1.0;0.06666666666666668;1.0;0.2;0.4352614396870473;0.0820778714838432;0.479666804039449
39;23.5;0.0;0.0;1.0;0.08333333333333333;1.0;0.08333333333333333;0.4296189594590759;0.3546641622768541;-0.02779222382539664
364;373.0;1.0;0.0625;1.0;0.03125;0.0;0.0;0.5909732661999613;0.507964442645669;0.0
179;133.0;0.0;0.0;1.0;0.05555555555555555;0.0;0.0;0.4629689874107704;0.3140204242968575;-0.05424059159884997
303;310.5;0.0;0.0;1.0;0.05882352941176471;0.0;0.0;0.5660839205615318;0.4890336091517678;0.0
78;81.5;1.0;0.04;1.0;0.04;0.0;0.0;0.5479486500877331;0.5290538690502249;0.24944382578492938
16;5.0;0.0;0.0;1.0;0.08333333333333333;0.3333333333333333;0.08333333333333333;0.30164735451381924;0.13345610230005334;0.23361919639756817
240;220.5;1.0;0.037037037037037035;1.0;0.037037037037037035;0.0;0.0;0.6083077902112308;0.5164382210315411;0.0
274;210.0;0.5;0.14285714285714285;1.0;0.14285714285714285;0.5;0.07142857142857142;0.4655111080107976;0.10164370982254113;0.24634726825119665
56;49.0;1.0;0.047619047619047616;1.0;0.047619047619047616;1.0;0.047619047619047616;0.4977702036522758;0.461699899039792;0.3918861850403587
507;439.5;1.0;0.13043478260869565;1.0;0.043478260869565216;0.0;0.0;0.5925732698855837;0.5340819012952323;0.0
21;24.5;0.0;0.0;1.0;0.125;0.0;0.0;0.4244167763853983;0.3254594969173002;0.13693938007523238
44;65.5;1.0;0.05;1.0;0.05;0.0;0.0;0.5810865985513352;0.4074961716423287;0.2539923139377466
2;2.0;0.3333333333333333;0.125;1.0;0.125;1.0;0.125;0.17592405238772985;0.1143506340520244;0.006796939468347326
4;2.5;0.0;0.0;1.0;0.09090909090909093;1.0;0.09090909090909091;0.21383524370017495;0.076980687732063;0.30738223410028304
189;206.0;1.0;0.060606060606060615;1.0;0.030303030303030307;1.0;0.06060606060606061;0.6588634686455725;0.5005890041106026;0.31247275572560496
203;527.5;1.0;0.16;1.0;0.04;1.0;0.12;0.5304034962671899;0.49126430697520895;0.24948222243347284
91;106.0;1.0;0.04166666666666666;1.0;0.041666666666666664;1.0;0.041666666666666664;0.5906160310343539;0.5988380639489853;0.23518098678934476
4;21.0;1.0;0.05882352941176471;1.0;0.05882352941176471;0.0;0.0;0.5236276265194169;0.5236276265194169;0.20653053128443047
279;282.0;1.0;0.060606060606060615;1.0;0.030303030303030307;1.0;0.030303030303030304;0.7238909618266067;0.4686887244368878;0.3090748967617454
175;60.0;1.0;0.08;1.0;0.04;1.0;0.04;0.5223057329654008;0.5304034962671899;0.3734278468560047
474;604.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;0.4602369217187014;0.12286868045883885;0.0
33;10.5;0.3333333333333333;0.05882352941176471;1.0;0.05882352941176471;1.0;0.058823529411764705;0.4450048597747597;0.3223533436530945;0.16246003883733204
88;78.0;1.0;0.1;1.0;0.1;0.0;0.0;0.4891869724941501;0.27287305767929265;0.2642493565920292
145;132.0;1.0;0.04166666666666666;1.0;0.041666666666666664;0.0;0.0;0.5453948500038813;0.5111363795262507;0.2713626770646286
233;291.0;1.0;0.06896551724137931;1.0;0.03448275862068965;1.0;0.06896551724137931;0.6566650483093331;0.5709017768927146;0.2600376882131963
46;224.0;0.0;0.0;1.0;0.05882352941176471;0.6666666666666666;0.11764705882352941;0.5409246352032415;0.4858886984819815;0.3882999717429974
53;59.0;1.0;0.13043478260869565;1.0;0.043478260869565216;0.0;0.0;0.5925732698855837;0.5535790241586828;0.2477764544887072
238;219.5;1.0;0.1;1.0;0.05;0.6666666666666666;0.2;0.5928554410536407;0.4913491744712556;0.477076027131704
113;114.0;0.6666666666666666;0.13333333333333333;1.0;0.06666666666666668;1.0;0.06666666666666667;0.4253126067799147;0.2313103650908308;0.3825284454926594
33;46.5;0.5;0.1;1.0;0.1;1.0;0.1;0.4554499399083466;0.3165327469079795;0.23237442447814255
30;33.5;0.75;0.1875;1.0;0.0625;0.0;0.0;0.5420059887153266;0.4500585442011194;0.0
111;332.0;1.0;0.04166666666666666;1.0;0.041666666666666664;0.0;0.0;0.5097660407071454;0.5289507841746186;0.0
72;68.5;1.0;0.07142857142857142;1.0;0.03571428571428571;0.0;0.0;0.5281939416789797;0.486716135215845;0.09180449216393029
331;292.0;1.0;0.04;1.0;0.08;0.0;0.0;0.6194788925868707;0.5587456678234519;0.0
8;3.0;0.3333333333333333;0.125;1.0;0.125;0.0;0.0;0.29907088905914075;0.15613259649411024;0.040754312922040445
304;45.0;0.0;0.0;1.0;0.07142857142857142;1.0;0.07142857142857142;0.4467198339259581;0.23489092606049414;0.27359708095268487
